,番号,分類
488,488,鳥類
489,489,哺乳類
490,490,医学
491,491,基礎医学
492,492,臨床医学、診断・治療
493,493,内科学
494,494,外科学
495,495,婦人科学、産科学
496,496,眼科学、耳鼻咽喉科学
497,497,歯科学
498,498,衛生学、公衆衛生、予防医学
499,499,薬学
500,500,技術、工学
501,501,工業基礎学
502,502,技術史、工学史
503,503,参考図書（レファレンスブック）
504,504,論文集、評論集、講演集
505,505,逐次刊行物
506,506,団体
507,507,研究法、指導法、技術教育
508,508,叢書、全集、選集
509,509,工業、工業経済
510,510,建設工学、土木工学
511,511,土木力学、建設材料
512,512,測量
513,513,土木設計・施工法
514,514,道路工学
515,515,橋梁工学
516,516,鉄道工学
517,517,河海工学、河川工学
518,518,衛生工学、都市工学 
519,519,環境工学、公害 
520,520,建築学
521,521,日本の建築
522,522,東洋の建築、アジアの建築
523,523,西洋の建築、その他の様式の建築
524,524,建築構造
525,525,建築計画・施工
526,526,各種の建築
527,527,住宅建築
528,528,建築設備、設備工学
529,529,建築意匠・装飾
530,530,機械工学
531,531,機械力学・材料・設計
532,532,機械工作、工作機械
533,533,熱機関、熱工学
534,534,流体機械、流体工学
535,535,精密機器、光学機器
536,536,運輸工学、車両、運搬機械
537,537,自動車工学
538,538,航空工学、宇宙工学
539,539,原子力工学
540,540,電気工学
541,541,電気回路・計測・材料
542,542,電気機器
543,543,発電
544,544,送電、変電、配電
545,545,電灯、照明、電熱
546,546,電気鉄道 
547,547,通信工学、電気通信
548,548,情報工学 
549,549,電子工学
550,550,海洋工学、船舶工学
551,551,理論造船学
552,552,船体構造・材料・施工
553,553,船体艤装、船舶設備
554,554,舶用機関（造機）
555,555,船舶修理、保守
556,556,各種の船舶・艦艇
557,557,航海、航海学 
558,558,海洋開発 
559,559,兵器、軍事工学
560,560,金属工学、鉱山工学
561,561,採鉱、選鉱
562,562,各種の金属鉱床・採掘
563,563,冶金、合金
564,564,鉄鋼
565,565,非鉄金属
566,566,金属加工、製造冶金
567,567,石炭
568,568,石油
569,569,非金属鉱物、土石採取業
570,570,化学工業
571,571,化学工学、化学機器
572,572,電気化学工業
573,573,セラミックス、窯業、珪酸塩化学工業
574,574,化学薬品
575,575,燃料、爆発物
576,576,油脂類
577,577,染料
578,578,高分子化学工業
579,579,その他の化学工業
580,580,製造工業
581,581,金属製品
582,582,事務機器、家庭機器、楽器
583,583,木工業、木製品
584,584,皮革工業、皮革製品
585,585,パルプ・製紙工業
586,586,繊維工学
587,587,染色加工、染色業
588,588,食品工業
589,589,その他の雑工業
590,590,家政学、生活科学
591,591,家庭経済・経営
592,592,家庭理工学
593,593,衣服、裁縫
594,594,手芸
595,595,理容、美容
596,596,食品、料理
597,597,住居、家具調度
598,598,家庭衛生
599,599,育児
600,600,産業
601,601,産業政策・行政、総合開発
602,602,産業史・事情、物産誌
603,603,参考図書（レファレンスブック）
604,604,論文集、評論集、講演集
605,605,逐次刊行物
606,606,団体
607,607,研究法、指導法、産業教育
608,608,叢書、全集、選集
609,609,度量衡、計量法
610,610,農業
611,611,農業経済・行政・経営
612,612,農業史・事情
613,613,農業基礎学
614,614,農業工学
